vaga_id,tecnologia
1,Java
1,Python
2,Java
2,Docker
3,TypeScript
3,JavaScript
3,CSS
4,CSS
4,JavaScript
5,CSS
5,JavaScript
6,SQL
6,Excel Avançado
6,Power BI
6,Python
7,React
7,CSS
7,TypeScript
8,Python
8,SQL
9,Python
9,Java
9,AWS
10,Windows Server
10,ITIL
10,Redes
11,Docker
11,Node.js
11,PostgreSQL
11,AWS
12,Python
12,Java
13,TypeScript
13,CSS
13,JavaScript
14,Active Directory
14,Windows Server
14,ITIL
15,Active Directory
15,ITIL
16,Active Directory
16,ITIL
16,Windows Server
16,Redes
17,Java
17,Docker
18,Python
18,Power BI
19,React
19,TypeScript
20,Python
20,SQL
21,AWS
21,Python
21,Java
21,Docker
22,Python
22,Power BI
23,Active Directory
23,Redes
24,AWS
24,Python
24,Docker
24,Java
25,Excel Avançado
25,SQL
26,Active Directory
26,Redes
26,ITIL
26,Windows Server
27,Python
27,Java
27,PostgreSQL
28,AWS
28,Docker
28,PostgreSQL
28,Python
29,Python
29,AWS
29,PostgreSQL
30,Python
30,Docker
31,SQL
31,Power BI
31,Excel Avançado
31,Python
32,Python
32,Excel Avançado
32,Power BI
33,Redes
33,ITIL
34,Python
34,Java
34,Node.js
35,Active Directory
35,ITIL
35,Windows Server
35,Redes
36,Power BI
36,Excel Avançado
36,SQL
37,JavaScript
37,TypeScript
38,Python
38,Power BI
38,Excel Avançado
39,SQL
39,Python
40,ITIL
40,Active Directory
41,Windows Server
41,Active Directory
41,ITIL
41,Redes
42,Windows Server
42,Redes
42,Active Directory
42,ITIL
43,ITIL
43,Active Directory
43,Redes
44,ITIL
44,Redes
44,Windows Server
45,Windows Server
45,ITIL
45,Redes
46,JavaScript
46,React
46,CSS
46,TypeScript
47,Python
47,Excel Avançado
47,Power BI
47,SQL
48,Docker
48,Node.js
48,PostgreSQL
49,Python
49,Power BI
49,Excel Avançado
50,ITIL
50,Windows Server
50,Redes
50,Active Directory
51,Node.js
51,Docker
52,Java
52,AWS
52,Docker
53,AWS
53,Docker
53,Java
54,Excel Avançado
54,SQL
55,PostgreSQL
55,Java
56,Redes
56,ITIL
56,Windows Server
57,Node.js
57,Docker
57,PostgreSQL
57,AWS
58,JavaScript
58,CSS
58,TypeScript
58,React
59,CSS
59,JavaScript
59,TypeScript
60,Redes
60,Windows Server
60,Active Directory
60,ITIL
61,Python
61,Excel Avançado
61,SQL
61,Power BI
62,CSS
62,JavaScript
63,Excel Avançado
63,SQL
64,CSS
64,React
64,TypeScript
65,Windows Server
65,ITIL
65,Active Directory
66,Docker
66,Java
67,TypeScript
67,JavaScript
67,CSS
68,Redes
68,Windows Server
68,Active Directory
68,ITIL
69,Docker
69,Python
69,AWS
69,Java
70,PostgreSQL
70,Python
70,AWS
71,TypeScript
71,CSS
71,React
71,JavaScript
72,ITIL
72,Windows Server
73,Java
73,PostgreSQL
73,AWS
74,Active Directory
74,ITIL
74,Redes
74,Windows Server
75,CSS
75,React
75,JavaScript
75,TypeScript
76,TypeScript
76,React
76,CSS
76,JavaScript
77,AWS
77,Docker
78,Docker
78,AWS
78,Node.js
78,Python
79,Power BI
79,SQL
80,Active Directory
80,Redes
80,Windows Server
81,Active Directory
81,Redes
81,Windows Server
82,Active Directory
82,Redes
82,ITIL
83,Redes
83,Windows Server
83,ITIL
84,SQL
84,Excel Avançado
84,Power BI
84,Python
85,AWS
85,Docker
85,PostgreSQL
86,React
86,CSS
86,JavaScript
86,TypeScript
87,Java
87,Node.js
88,CSS
88,React
88,TypeScript
89,SQL
89,Excel Avançado
90,ITIL
90,Redes
90,Active Directory
90,Windows Server
91,JavaScript
91,React
91,TypeScript
92,TypeScript
92,CSS
92,React
93,JavaScript
93,TypeScript
93,React
94,Python
94,Excel Avançado
95,Docker
95,Java
95,AWS
95,PostgreSQL
96,AWS
96,Java
97,Windows Server
97,Redes
97,Active Directory
98,Redes
98,Windows Server
98,ITIL
99,Windows Server
99,Redes
99,ITIL
100,Windows Server
100,ITIL
100,Redes
100,Active Directory
101,Redes
101,ITIL
101,Active Directory
102,Active Directory
102,ITIL
102,Windows Server
103,TypeScript
103,CSS
103,React
104,CSS
104,TypeScript
104,JavaScript
105,Active Directory
105,ITIL
105,Redes
106,ITIL
106,Windows Server
106,Redes
107,Docker
107,PostgreSQL
108,CSS
108,React
108,JavaScript
109,Docker
109,Node.js
109,PostgreSQL
110,CSS
110,TypeScript
111,SQL
111,Power BI
111,Excel Avançado
112,ITIL
112,Active Directory
113,SQL
113,Power BI
114,Power BI
114,Python
115,ITIL
115,Active Directory
115,Windows Server
115,Redes
116,React
116,JavaScript
117,Excel Avançado
117,SQL
118,AWS
118,Node.js
118,Python
119,React
119,TypeScript
119,JavaScript
119,CSS
120,Redes
120,Active Directory
120,ITIL
121,Redes
121,ITIL
121,Active Directory
121,Windows Server
122,Java
122,PostgreSQL
122,Docker
123,Power BI
123,SQL
123,Python
123,Excel Avançado
124,SQL
124,Excel Avançado
124,Python
124,Power BI
125,Python
125,SQL
125,Excel Avançado
125,Power BI
126,SQL
126,Power BI
127,Python
127,Excel Avançado
128,JavaScript
128,React
128,CSS
129,SQL
129,Excel Avançado
129,Python
130,TypeScript
130,CSS
131,Power BI
131,Python
131,Excel Avançado
132,Excel Avançado
132,Python
133,Excel Avançado
133,Python
133,Power BI
134,Redes
134,Active Directory
135,ITIL
135,Redes
135,Active Directory
135,Windows Server
136,Power BI
136,Python
136,SQL
137,Node.js
137,Python
137,AWS
137,PostgreSQL
138,SQL
138,Power BI
138,Python
138,Excel Avançado
139,Docker
139,PostgreSQL
140,Excel Avançado
140,Python
140,Power BI
141,Python
141,SQL
142,CSS
142,React
142,TypeScript
142,JavaScript
143,Power BI
143,SQL
143,Excel Avançado
144,ITIL
144,Windows Server
144,Active Directory
145,Power BI
145,SQL
145,Python
145,Excel Avançado
146,CSS
146,React
146,JavaScript
147,TypeScript
147,JavaScript
147,React
147,CSS
148,Java
148,Node.js
148,AWS
149,Windows Server
149,Active Directory
149,ITIL
150,Excel Avançado
150,Python
151,Power BI
151,Excel Avançado
151,Python
151,SQL
152,SQL
152,Python
152,Power BI
153,Redes
153,Windows Server
154,Windows Server
154,Redes
154,ITIL
154,Active Directory
155,Windows Server
155,Active Directory
156,Node.js
156,PostgreSQL
156,Docker
157,JavaScript
157,TypeScript
157,React
158,Active Directory
158,ITIL
158,Redes
159,Python
159,Node.js
159,PostgreSQL
159,Docker
160,Active Directory
160,ITIL
160,Windows Server
160,Redes
161,React
161,JavaScript
162,Active Directory
162,ITIL
162,Windows Server
162,Redes
163,Excel Avançado
163,SQL
164,PostgreSQL
164,Java
164,Docker
164,AWS
165,Excel Avançado
165,Python
165,Power BI
165,SQL
166,SQL
166,Power BI
166,Python
167,Active Directory
167,Redes
167,Windows Server
168,Active Directory
168,Windows Server
168,Redes
169,Python
169,Node.js
169,Java
170,Redes
170,ITIL
170,Active Directory
171,Redes
171,Active Directory
171,Windows Server
171,ITIL
172,CSS
172,TypeScript
173,Docker
173,Node.js
174,Active Directory
174,Windows Server
175,Active Directory
175,Windows Server
175,Redes
176,TypeScript
176,CSS
177,Windows Server
177,Active Directory
177,ITIL
178,ITIL
178,Windows Server
179,ITIL
179,Windows Server
180,Redes
180,ITIL
180,Windows Server
181,TypeScript
181,JavaScript
181,React
181,CSS
182,AWS
182,Node.js
182,Docker
183,TypeScript
183,CSS
183,React
183,JavaScript
184,React
184,JavaScript
184,TypeScript
184,CSS
185,JavaScript
185,TypeScript
185,CSS
185,React
186,Power BI
186,Excel Avançado
186,Python
187,JavaScript
187,React
187,TypeScript
187,CSS
188,PostgreSQL
188,Java
189,ITIL
189,Redes
189,Active Directory
189,Windows Server
190,Python
190,SQL
190,Power BI
191,Python
191,Power BI
191,SQL
192,JavaScript
192,CSS
192,React
193,Windows Server
193,Active Directory
193,Redes
193,ITIL
194,ITIL
194,Redes
195,Node.js
195,Docker
195,Python
195,AWS
196,Power BI
196,Excel Avançado
196,SQL
196,Python
197,PostgreSQL
197,Docker
197,Python
197,Java
198,PostgreSQL
198,Node.js
198,AWS
198,Python
199,TypeScript
199,CSS
200,Active Directory
200,Windows Server
200,Redes
200,ITIL
201,Redes
201,Active Directory
201,ITIL
201,Windows Server
202,Redes
202,Windows Server
