id,cargo,cidade,senioridade,salario_min,salario_max,modalidade
1,Desenvolvimento Backend,Remoto (Brasil),Pleno,5012,9309,Híbrido
2,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2608,4336,Híbrido
3,Desenvolvimento Frontend,São Paulo - SP,Pleno,5359,9108,Híbrido
4,Desenvolvimento Frontend,São Paulo - SP,Júnior,2745,4710,Remoto
5,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2511,4693,Híbrido
6,Dados / BI,Remoto (Brasil),Pleno,5441,8920,Presencial
7,Desenvolvimento Frontend,São Paulo - SP,Sênior,9889,15869,Remoto
8,Dados / BI,São Paulo - SP,Sênior,10163,15446,Híbrido
9,Desenvolvimento Backend,São Paulo - SP,Sênior,10204,16440,Híbrido
10,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2733,4610,Remoto
11,Desenvolvimento Backend,São Paulo - SP,Pleno,5135,8692,Remoto
12,Desenvolvimento Backend,Remoto (Brasil),Sênior,10021,16310,Híbrido
13,Desenvolvimento Frontend,São Paulo - SP,Pleno,5032,8944,Híbrido
14,Suporte / Infraestrutura,São Paulo - SP,Sênior,10268,15846,Remoto
15,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5368,8819,Remoto
16,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5078,8932,Remoto
17,Desenvolvimento Backend,São Paulo - SP,Sênior,10351,16952,Presencial
18,Dados / BI,São Paulo - SP,Pleno,5035,9328,Híbrido
19,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2723,4630,Remoto
20,Dados / BI,São Paulo - SP,Pleno,5224,9471,Remoto
21,Desenvolvimento Backend,Remoto (Brasil),Pleno,5301,8775,Presencial
22,Dados / BI,Rio de Janeiro - RJ,Júnior,2560,4462,Presencial
23,Suporte / Infraestrutura,São Paulo - SP,Pleno,5401,9034,Híbrido
24,Desenvolvimento Backend,Remoto (Brasil),Pleno,5442,9296,Híbrido
25,Dados / BI,São Paulo - SP,Júnior,2549,4417,Remoto
26,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9953,16954,Presencial
27,Desenvolvimento Backend,São Paulo - SP,Júnior,2624,4566,Remoto
28,Desenvolvimento Backend,São Paulo - SP,Sênior,10303,16231,Remoto
29,Desenvolvimento Backend,Remoto (Brasil),Júnior,2688,4597,Híbrido
30,Desenvolvimento Backend,Remoto (Brasil),Júnior,2745,4580,Remoto
31,Dados / BI,Rio de Janeiro - RJ,Pleno,5482,9461,Híbrido
32,Dados / BI,Rio de Janeiro - RJ,Júnior,2566,4424,Remoto
33,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5475,9319,Presencial
34,Desenvolvimento Backend,São Paulo - SP,Júnior,2554,4579,Remoto
35,Suporte / Infraestrutura,São Paulo - SP,Pleno,5154,9176,Presencial
36,Dados / BI,São Paulo - SP,Júnior,2527,4700,Híbrido
37,Desenvolvimento Frontend,São Paulo - SP,Pleno,5135,9067,Remoto
38,Dados / BI,São Paulo - SP,Júnior,2697,4386,Híbrido
39,Dados / BI,São Paulo - SP,Júnior,2519,4772,Híbrido
40,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2578,4506,Híbrido
41,Suporte / Infraestrutura,São Paulo - SP,Júnior,2643,4772,Presencial
42,Suporte / Infraestrutura,São Paulo - SP,Pleno,5170,9351,Remoto
43,Suporte / Infraestrutura,São Paulo - SP,Pleno,5102,9386,Remoto
44,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2721,4355,Híbrido
45,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2507,4379,Remoto
46,Desenvolvimento Frontend,São Paulo - SP,Júnior,2701,4480,Remoto
47,Dados / BI,Remoto (Brasil),Pleno,5412,9101,Presencial
48,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5339,9418,Remoto
49,Dados / BI,Remoto (Brasil),Pleno,5098,8980,Remoto
50,Suporte / Infraestrutura,São Paulo - SP,Júnior,2553,4540,Híbrido
51,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,10315,16807,Híbrido
52,Desenvolvimento Backend,São Paulo - SP,Júnior,2743,4704,Remoto
53,Desenvolvimento Backend,São Paulo - SP,Pleno,5435,9336,Híbrido
54,Dados / BI,Remoto (Brasil),Pleno,5075,9221,Remoto
55,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5025,9120,Híbrido
56,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,10109,15949,Presencial
57,Desenvolvimento Backend,São Paulo - SP,Pleno,5132,9319,Remoto
58,Desenvolvimento Frontend,São Paulo - SP,Pleno,5120,8828,Remoto
59,Desenvolvimento Frontend,São Paulo - SP,Júnior,2606,4528,Presencial
60,Suporte / Infraestrutura,São Paulo - SP,Sênior,10212,15340,Remoto
61,Dados / BI,São Paulo - SP,Sênior,10355,16158,Remoto
62,Desenvolvimento Frontend,São Paulo - SP,Júnior,2673,4728,Presencial
63,Dados / BI,São Paulo - SP,Sênior,10106,16455,Presencial
64,Desenvolvimento Frontend,São Paulo - SP,Júnior,2583,4428,Remoto
65,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2638,4346,Híbrido
66,Desenvolvimento Backend,São Paulo - SP,Pleno,5486,8803,Remoto
67,Desenvolvimento Frontend,São Paulo - SP,Júnior,2742,4431,Híbrido
68,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2648,4333,Híbrido
69,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2678,4715,Híbrido
70,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2665,4494,Presencial
71,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,10224,15613,Remoto
72,Suporte / Infraestrutura,São Paulo - SP,Júnior,2718,4445,Remoto
73,Desenvolvimento Backend,São Paulo - SP,Pleno,5194,8894,Remoto
74,Suporte / Infraestrutura,São Paulo - SP,Júnior,2652,4679,Remoto
75,Desenvolvimento Frontend,São Paulo - SP,Pleno,5123,9257,Remoto
76,Desenvolvimento Frontend,São Paulo - SP,Júnior,2669,4617,Híbrido
77,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2530,4689,Presencial
78,Desenvolvimento Backend,São Paulo - SP,Júnior,2689,4567,Presencial
79,Dados / BI,São Paulo - SP,Júnior,2577,4327,Presencial
80,Suporte / Infraestrutura,São Paulo - SP,Pleno,5064,9203,Híbrido
81,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2513,4449,Híbrido
82,Suporte / Infraestrutura,São Paulo - SP,Pleno,5077,8702,Híbrido
83,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5316,8781,Presencial
84,Dados / BI,São Paulo - SP,Júnior,2658,4350,Híbrido
85,Desenvolvimento Backend,São Paulo - SP,Júnior,2519,4400,Remoto
86,Desenvolvimento Frontend,São Paulo - SP,Pleno,5359,9430,Remoto
87,Desenvolvimento Backend,Remoto (Brasil),Júnior,2568,4743,Híbrido
88,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,9949,15554,Remoto
89,Dados / BI,Remoto (Brasil),Sênior,10252,15960,Presencial
90,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5486,8571,Híbrido
91,Desenvolvimento Frontend,São Paulo - SP,Sênior,9685,16498,Remoto
92,Desenvolvimento Frontend,São Paulo - SP,Júnior,2541,4488,Híbrido
93,Desenvolvimento Frontend,São Paulo - SP,Pleno,5161,8808,Remoto
94,Dados / BI,Remoto (Brasil),Júnior,2693,4575,Híbrido
95,Desenvolvimento Backend,São Paulo - SP,Pleno,5357,9046,Híbrido
96,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2715,4787,Híbrido
97,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5139,8975,Remoto
98,Suporte / Infraestrutura,São Paulo - SP,Pleno,5450,8689,Presencial
99,Suporte / Infraestrutura,São Paulo - SP,Júnior,2650,4616,Remoto
100,Suporte / Infraestrutura,São Paulo - SP,Pleno,5233,8879,Presencial
101,Suporte / Infraestrutura,São Paulo - SP,Júnior,2621,4681,Híbrido
102,Suporte / Infraestrutura,São Paulo - SP,Pleno,5302,8889,Remoto
103,Desenvolvimento Frontend,Remoto (Brasil),Sênior,9658,15453,Híbrido
104,Desenvolvimento Frontend,São Paulo - SP,Sênior,10379,16392,Híbrido
105,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5147,8782,Remoto
